board size,depth,execution time
3,1,0.001676
3,1,0.001048
3,1,0.000887
3,1,0.000815
3,1,0.000771
3,1,0.000771
3,1,0.000792
3,1,0.000769
3,1,0.000767
3,1,0.000771
4,1,0.004251
4,1,0.004286
4,1,0.004257
4,1,0.004363
4,1,0.004327
4,1,0.004370
4,1,0.004337
4,1,0.004235
4,1,0.004204
4,1,0.004330
5,1,0.014931
5,1,0.014684
5,1,0.014915
5,1,0.014924
5,1,0.014907
5,1,0.014992
5,1,0.014608
5,1,0.014831
5,1,0.014893
5,1,0.015049
6,1,0.044971
6,1,0.044793
6,1,0.045628
6,1,0.045396
6,1,0.045689
6,1,0.045420
6,1,0.045427
6,1,0.045545
6,1,0.045710
6,1,0.045593
7,1,0.107420
7,1,0.106913
7,1,0.107657
7,1,0.108574
7,1,0.110416
7,1,0.107964
7,1,0.108656
7,1,0.109089
7,1,0.108783
7,1,0.108234
8,1,0.254149
8,1,0.255142
8,1,0.250940
8,1,0.254731
8,1,0.248223
8,1,0.254469
8,1,0.254767
8,1,0.253284
8,1,0.253695
8,1,0.259921
9,1,0.494116
9,1,0.500367
9,1,0.494753
9,1,0.493312
9,1,0.498433
9,1,0.501972
9,1,0.506358
9,1,0.502587
9,1,0.494633
9,1,0.492846
10,1,0.989712
10,1,0.983621
10,1,0.994110
10,1,0.977890
10,1,0.975054
10,1,0.975928
10,1,0.977007
10,1,1.002927
10,1,0.970783
10,1,0.975324
