board size,depth,execution time,win
3,1,0.001328,1
3,1,0.000676,1
3,1,0.000591,1
3,1,0.000538,1
3,1,0.000564,1
3,1,0.000527,1
3,2,0.001957,1
3,2,0.001949,1
3,2,0.001916,1
3,2,0.001922,1
3,2,0.001954,1
3,2,0.001932,1
3,3,0.005163,1
3,3,0.005084,1
3,3,0.005133,1
3,3,0.005168,1
3,3,0.005119,1
3,3,0.005128,1
3,4,0.012190,1
3,4,0.012080,1
3,4,0.012046,1
3,4,0.012114,1
3,4,0.012605,1
3,4,0.011910,1
4,1,0.002262,0
4,1,0.002295,0
4,1,0.002329,0
4,1,0.002333,0
4,1,0.002281,0
4,1,0.002352,0
4,2,0.009579,1
4,2,0.009657,1
4,2,0.009814,1
4,2,0.010063,1
4,2,0.009905,1
4,2,0.009839,1
4,3,0.052078,1
4,3,0.051866,1
4,3,0.060864,1
4,3,0.060310,1
4,3,0.060042,1
4,3,0.061000,1
4,4,0.327216,1
4,4,0.254065,0
4,4,0.259251,0
4,4,0.257632,0
4,4,0.283064,0
4,4,0.314847,1
5,1,0.008690,1
5,1,0.008727,1
5,1,0.008769,1
5,1,0.008824,1
5,1,0.008767,1
5,1,0.008789,1
5,2,0.062011,1
5,2,0.062096,1
5,2,0.062080,1
5,2,0.061950,1
5,2,0.059549,1
5,2,0.060494,1
5,3,0.342703,1
5,3,0.417793,0
5,3,0.270409,0
5,3,0.453862,1
5,3,0.385955,0
5,3,0.330136,1
5,4,3.232470,1
5,4,2.538336,0
5,4,5.684194,1
5,4,3.645139,1
5,4,4.776272,0
5,4,2.895585,0
6,1,0.030443,0
6,1,0.030686,0
6,1,0.030474,0
6,1,0.031484,0
6,1,0.028689,1
6,1,0.027770,1
6,2,0.257558,1
6,2,0.256990,1
6,2,0.263686,0
6,2,0.220839,0
6,2,0.307621,0
6,2,0.307375,0
6,3,2.144759,0
6,3,3.200852,0
6,3,1.554972,1
6,3,2.532502,1
6,3,1.605705,1
6,3,2.855114,1
6,4,26.337411,0
6,4,31.573153,1
6,4,27.674847,1
6,4,25.655550,1
6,4,24.723080,0
6,4,24.595663,0
