board size,depth,execution time,win
3,1,0.0006761550903320312,1
3,1,0.0005559921264648438,1
3,1,0.00045418739318847656,1
3,1,0.0005400180816650391,1
3,1,0.0005648136138916016,1
3,1,0.0004622936248779297,1
3,2,0.0018208026885986328,1
3,2,0.0017402172088623047,1
3,2,0.0018367767333984375,1
3,2,0.001972198486328125,1
3,2,0.0019190311431884766,1
3,2,0.0018591880798339844,1
3,3,0.005983114242553711,1
3,3,0.0055387020111083984,1
3,3,0.0059697628021240234,1
3,3,0.0061588287353515625,1
3,3,0.005882978439331055,1
3,3,0.00543522834777832,1
3,4,0.01703929901123047,1
3,4,0.013345956802368164,1
3,4,0.014976978302001953,1
3,4,0.01416015625,1
3,4,0.013764142990112305,1
3,4,0.012949943542480469,1
4,1,0.0029060840606689453,0
4,1,0.0027539730072021484,1
4,1,0.0029380321502685547,1
4,1,0.0020351409912109375,1
4,1,0.002259969711303711,1
4,1,0.0021238327026367188,1
4,2,0.012852191925048828,1
4,2,0.018172264099121094,1
4,2,0.015753984451293945,0
4,2,0.017082929611206055,1
4,2,0.015158653259277344,1
4,2,0.01594376564025879,1
4,3,0.059790849685668945,1
4,3,0.07461810111999512,1
4,3,0.09255290031433105,1
4,3,0.10044288635253906,0
4,3,0.0719919204711914,0
4,3,0.05350089073181152,1
4,4,0.3006868362426758,1
4,4,0.42201685905456543,1
4,4,0.3237001895904541,1
4,4,0.33553576469421387,1
4,4,0.38558411598205566,1
4,4,0.7018940448760986,1
5,1,0.010874271392822266,0
5,1,0.00824880599975586,1
5,1,0.007044792175292969,1
5,1,0.010854959487915039,1
5,1,0.008460760116577148,1
5,1,0.009666919708251953,1
5,2,0.10542011260986328,0
5,2,0.09441208839416504,1
5,2,0.11069011688232422,1
5,2,0.14562177658081055,1
5,2,0.05834698677062988,1
5,2,0.06289505958557129,1
5,3,0.580172061920166,1
5,3,1.004324197769165,1
5,3,0.449383020401001,1
5,3,0.7005760669708252,1
5,3,0.5794212818145752,0
5,3,0.9625561237335205,0
5,4,5.357834815979004,0
5,4,3.560822010040283,1
5,4,5.346693992614746,1
5,4,5.772942066192627,1
5,4,3.916153907775879,0
5,4,4.923382043838501,1
6,1,0.044222116470336914,1
6,1,0.03510022163391113,0
6,1,0.03673219680786133,0
6,1,0.030089139938354492,0
6,1,0.04642081260681152,1
6,1,0.04138493537902832,0
6,2,0.4354879856109619,1
6,2,0.3572409152984619,1
6,2,0.5352201461791992,1
6,2,0.44301867485046387,0
6,2,0.4060688018798828,1
6,2,0.3215219974517822,1
6,3,8.22365689277649,0
6,3,4.654798984527588,1
6,3,2.00079607963562,1
6,3,2.4161860942840576,1
6,3,3.307706117630005,0
6,3,4.918865203857422,0
6,4,72.11930513381958,1
6,4,63.673377990722656,0
6,4,133.07883596420288,1
6,4,47.73675513267517,1
6,4,46.489492893218994,0
6,4,87.95640802383423,1
