board size,depth,execution time
3,1,0.0015022754669189453
3,1,0.0012106895446777344
3,1,0.0010943412780761719
3,1,0.0010290145874023438
3,1,0.0010950565338134766
3,1,0.0010371208190917969
3,1,0.001035928726196289
3,1,0.0010311603546142578
3,1,0.0010700225830078125
3,1,0.0010311603546142578
4,1,0.00702214241027832
4,1,0.007075786590576172
4,1,0.007071971893310547
4,1,0.007082223892211914
4,1,0.007138252258300781
4,1,0.007128000259399414
4,1,0.007116079330444336
4,1,0.0070400238037109375
4,1,0.007139921188354492
4,1,0.007091045379638672
5,1,0.025769948959350586
5,1,0.02577829360961914
5,1,0.0264127254486084
5,1,0.025727272033691406
5,1,0.025876998901367188
5,1,0.025701284408569336
5,1,0.02577686309814453
5,1,0.02569890022277832
5,1,0.025791168212890625
5,1,0.025528907775878906
6,1,0.0890958309173584
6,1,0.08923888206481934
6,1,0.08953070640563965
6,1,0.0896909236907959
6,1,0.08942580223083496
6,1,0.08940291404724121
6,1,0.08961319923400879
6,1,0.0901479721069336
6,1,0.0894169807434082
6,1,0.09000182151794434
7,1,0.21656394004821777
7,1,0.21644186973571777
7,1,0.21771717071533203
7,1,0.2241530418395996
7,1,0.2203199863433838
7,1,0.22243189811706543
7,1,0.22219276428222656
7,1,0.21906113624572754
7,1,0.2206096649169922
7,1,0.2216472625732422
8,1,0.5682399272918701
8,1,0.5726921558380127
8,1,0.5618460178375244
8,1,0.5594091415405273
8,1,0.566622257232666
8,1,0.562492847442627
8,1,0.5668909549713135
8,1,0.5895287990570068
8,1,0.5868232250213623
8,1,0.5617861747741699
9,1,1.0925841331481934
9,1,1.0940420627593994
9,1,1.0936613082885742
9,1,1.1025967597961426
9,1,1.1040141582489014
9,1,1.109449863433838
9,1,1.112304925918579
9,1,1.1103169918060303
9,1,1.0879268646240234
9,1,1.0959179401397705
10,1,2.3241682052612305
10,1,2.3314361572265625
10,1,2.3497960567474365
10,1,2.3123531341552734
10,1,2.319852113723755
10,1,2.3171379566192627
10,1,2.351526975631714
10,1,2.344618082046509
10,1,2.3136820793151855
10,1,2.3127689361572266
